District	State	Population 2001	81to91grow	91to01grow	SR91	SR01
INDIA		1027015247	23.86	21.34	927	933
Jammu and Kashmir	Jammu and Kashmir	10069917	30.34	29.04	896	900
Kupwara	Jammu and Kashmir	640013	40.47	38.59	893	929
Baramula	Jammu and Kashmir	1166722	32.72	31.18	890	909
Srinagar	Jammu and Kashmir	1238530	33.02	31.45	872	871
Badgam	Jammu and Kashmir	593768	27.81	26.5	899	918
Pulwama	Jammu and Kashmir	632295	25.69	24.49	917	938
Anantanag	Jammu and Kashmir	1170013	34.33	32.7	905	922
Leh (Ladakh)	Jammu and Kashmir	117637	31.91	30.42	845	805
Kargil	Jammu and Kashmir	115227	32.89	31.39	878	901
Doda	Jammu and Kashmir	690474	28.09	26.76	905	905
Udhampur	Jammu and Kashmir	738965	28.32	26.95	888	871
Punch	Jammu and Kashmir	371561	29.4	28.08	902	916
Rajauri	Jammu and Kashmir	478595	26.38	25.19	898	891
Jammu	Jammu and Kashmir	1571911	29.78	28.39	899	881
Kathua	Jammu and Kashmir	544206	21.94	20.91	912	907
Himachal Pradesh	Himachal Pradesh	6077248	20.79	17.53	976	970
Chamba	Himachal Pradesh	460499	26.4	17.09	949	961
Kangra	Himachal Pradesh	1338536	18.5	14.01	1024	1027
Lahul & Spiti	Himachal Pradesh	33224	-2.51	6.17	817	804
Kullu	Himachal Pradesh	379865	26.68	25.6	920	928
Mandi	Himachal Pradesh	900987	20.4	16.05	1013	1014
Hamirpur	Himachal Pradesh	412009	16.17	11.62	1105	1102
Una	Himachal Pradesh	447967	19.17	18.43	1017	997
Bilaspur	Himachal Pradesh	340735	19.41	15.35	1002	992
Solan	Himachal Pradesh	499380	26.02	30.64	909	853
Sirmaur	Himachal Pradesh	458351	23.72	20.72	897	901
Shimla	Himachal Pradesh	721745	20.84	16.9	894	898
Kinnaur	Himachal Pradesh	83950	19.69	17.79	856	851
Punjab	Punjab	24289296	20.81	19.76	882	874
Gurdaspur	Punjab	2096889	16.07	19.33	903	888
Amritsar	Punjab	3074207	14.46	22.72	873	874
Kapurthala	Punjab	752287	18.6	16.34	896	886
Jalandhar	Punjab	1953508	17.3	18.4	897	882
Hoshiarpur	Punjab	1478045	16.39	13.81	924	935
Nawanshahr	Punjab	586637	16.39	10.43	900	913
Rupnagar	Punjab	1110000	28.29	23.39	870	870
Fatehgarh Sahib	Punjab	539751	17.01	18.65	871	851
Ludhiana	Punjab	3030352	36.53	24.79	844	824
Moga	Punjab	886313	18.61	13.93	884	883
Firozpur	Punjab	1744753	24	20.42	895	883
Muktsar	Punjab	776702	19.55	18.68	880	886
Faridkot	Punjab	552466	22.79	21.42	883	881
Bathinda	Punjab	1181236	20.49	19.89	884	865
Mansa	Punjab	688630	18.04	19.83	873	875
Sangrur	Punjab	1998464	21.36	18.57	870	868
Patiala	Punjab	1839056	21.53	20.31	882	864
Chandigarh *	Chandigarh	900914	42.16	40.33	790	773
Chandigarh	Chandigarh	900914	42.16	40.33	790	773
Uttaranchal	Uttaranchal	8479562	24.23	19.2	936	964
Uttarkashi	Uttaranchal	294179	25.54	22.72	918	941
Chamoli	Uttaranchal	369198	21.97	13.51	982	1017
Rudraprayag	Uttaranchal	227461	17.51	13.44	1094	1117
Tehri Garhwal	Uttaranchal	604608	16.59	16.15	1048	1051
Dehradun	Uttaranchal	1279083	34.66	24.71	843	893
Garhwal	Uttaranchal	696851	9.05	3.87	1058	1104
Pithoragarh	Uttaranchal	462149	14.11	10.92	992	1031
Champawat	Uttaranchal	224461	34.22	17.56	945	1024
Almora	Uttaranchal	630446	9.43	3.14	1099	1147
Bageshwar	Uttaranchal	249453	14.92	9.21	1055	1110
Nainital	Uttaranchal	762912	30.01	32.88	881	906
Udhamsingh Nagar	Uttaranchal	1234548	44.46	27.79	863	902
Hardwar	Uttaranchal	1444213	28.44	26.3	846	868
Haryana	Haryana	21082989	27.41	28.06	865	861
Panchkula	Haryana	469210	57.61	51.16	839	823
Ambala	Haryana	1013660	22.31	25.69	903	869
Yamunanagar	Haryana	982369	27.41	21.84	883	863
Kurukshetra	Haryana	828120	23.4	23.72	879	866
Kaithal	Haryana	945631	20.92	20.95	853	854
Karnal	Haryana	1274843	24.76	23.13	864	864
Panipat	Haryana	967338	37.65	38.57	852	830
Sonipat	Haryana	1278830	24.53	22.36	840	839
Jind	Haryana	1189725	23.03	21.35	838	853
Fatehabad	Haryana	806158	26.08	24.76	877	886
Sirsa	Haryana	1111012	27.79	22.96	885	882
Hisar	Haryana	1536417	22.67	27.06	853	852
Bhiwani	Haryana	1424554	22.8	22.45	878	880
Rohtak	Haryana	940036	17.79	20.99	849	847
Jhajjar	Haryana	887392	21.37	24.09	861	848
Mahendragarh	Haryana	812022	27.91	19.09	910	919
Rewari	Haryana	764727	25.62	25.24	927	901
Gurgaon	Haryana	1657669	32.67	44.64	871	874
Faridabad	Haryana	2193276	49.81	48.47	828	839
Delhi *	Delhi	13782976	51.45	46.31	827	821
North West	Delhi	2847395	NA	60.12	822	820
North	Delhi	779788	NA	13.3	819	826
North East	Delhi	1763712	NA	62.52	837	851
East	Delhi	1448770	NA	41.61	846	845
New Delhi	Delhi	171806	NA	2.47	793	791
Central	Delhi	644005	NA	-1.91	872	843
West	Delhi	2119641	NA	47.81	848	830
South West	Delhi	1749492	NA	61.29	795	783
South	Delhi	2258367	NA	50.27	807	797
Rajasthan	Rajasthan	56473122	28.44	28.33	910	922
Ganganagar	Rajasthan	1788487	18.25	27.53	865	873
Hanumangarh	Rajasthan	1517390	44.6	24.34	891	895
Bikaner	Rajasthan	1673562	42.7	38.18	885	889
Churu	Rajasthan	1922908	30.84	24.6	937	948
Jhunjhunun	Rajasthan	1913099	30.61	20.9	931	946
Alwar	Rajasthan	2990862	30.82	30.23	880	887
Bharatpur	Rajasthan	2098323	27.14	27.05	832	857
Dhaulpur	Rajasthan	982815	28.1	31.13	795	828
Karauli	Rajasthan	1205631	28.66	29.96	840	858
Sawai Madhopur	Rajasthan	1116031	27.22	27.44	870	889
Dausa	Rajasthan	1316790	30.81	32.42	884	899
Jaipur	Rajasthan	5252388	38.73	35.1	892	897
Sikar	Rajasthan	2287229	33.81	24.11	946	951
Nagaur	Rajasthan	2773894	31.69	29.33	942	951
Jodhpur	Rajasthan	2880777	29.12	33.77	891	908
Jaisalmer	Rajasthan	507999	41.73	47.45	807	821
Barmer	Rajasthan	1963758	28.27	36.83	891	896
Jalor	Rajasthan	1448486	26.52	26.78	942	968
Sirohi	Rajasthan	850756	20.66	30.08	949	944
Pali	Rajasthan	1819201	16.63	22.39	956	983
Ajmer	Rajasthan	2180526	20.05	26.1	918	932
Tonk	Rajasthan	1211343	24.42	24.24	923	936
Bundi	Rajasthan	961269	25.85	24.8	889	908
Bhilwara	Rajasthan	2009516	21.58	26.14	945	964
Rajsamand	Rajasthan	986269	17.97	19.88	991	1002
Udaipur	Rajasthan	2632210	24.52	27.37	956	972
Dungarpur	Rajasthan	1107037	28.07	26.58	995	1027
Banswara	Rajasthan	1500420	30.34	29.84	969	978
Chittaurgarh	Rajasthan	1802656	20.42	21.46	950	966
Kota	Rajasthan	1568580	35.88	28.52	881	895
