District	State	Pop11	Growth11	SR11	Lit11
Thane	Maharashtra	"11,060,148"	36.01%	886	84.53
North Twenty Four Parganas	West Bengal	"10,009,781"	12.04%	955	84.06
Bangalore	Karnataka	"9,621,551"	47.18%	916	87.67
Pune	Maharashtra	"9,429,408"	30.37%	915	86.15
Mumbai Suburban	Maharashtra	"9,356,962"	8.29%	860	89.91
South Twenty Four Parganas	West Bengal	"8,161,961"	18.17%	956	77.51
Barddhaman	West Bengal	"7,717,563"	11.92%	945	76.21
Ahmadabad	Gujarat	"7,214,225"	24.03%	904	85.31
Murshidabad	West Bengal	"7,103,807"	21.09%	958	66.59
Jaipur	Rajasthan	"6,626,178"	26.19%	910	75.51
Nashik	Maharashtra	"6,107,187"	22.30%	934	82.31
Surat	Gujarat	"6,081,322"	42.24%	787	85.53
Allahabad	Uttar Pradesh	"5,954,391"	20.63%	901	72.32
Paschim Medinipur	West Bengal	"5,913,457"	13.86%	966	78
Patna	Bihar	"5,838,465"	23.73%	897	70.68
Hugli	West Bengal	"5,519,145"	9.46%	961	81.8
Rangareddy	Andhra Pradesh	"5,296,741"	48.16%	961	75.87
Nadia	West Bengal	"5,167,600"	12.22%	947	74.97
East Godavari	Andhra Pradesh	"5,154,296"	5.16%	1006	70.99
Purbi Champaran	Bihar	"5,099,371"	29.43%	902	55.79
Purba Medinipur	West Bengal	"5,095,875"	15.36%	938	87.02
Guntur	Andhra Pradesh	"4,887,813"	9.47%	1003	67.4
Haora	West Bengal	"4,850,029"	13.50%	939	83.31
Muzaffarpur	Bihar	"4,801,062"	28.14%	900	63.43
Belgaum	Karnataka	"4,779,661"	13.41%	973	73.48
Moradabad	Uttar Pradesh	"4,772,006"	25.22%	906	56.77
Ghaziabad	Uttar Pradesh	"4,681,645"	42.27%	881	78.07
Nagpur	Maharashtra	"4,653,570"	14.40%	951	88.39
Chennai	Tamil Nadu	"4,646,732"	6.98%	989	90.18
Azamgarh	Uttar Pradesh	"4,613,913"	17.11%	1019	70.93
Lucknow	Uttar Pradesh	"4,589,838"	25.82%	917	77.29
Kanpur Nagar	Uttar Pradesh	"4,581,268"	9.92%	862	79.65
Ahmadnagar	Maharashtra	"4,543,159"	12.44%	939	79.05
Krishna	Andhra Pradesh	"4,517,398"	7.87%	992	73.74
Kolkata	West Bengal	"4,496,694"	-1.67%	908	86.31
Jaunpur	Uttar Pradesh	"4,494,204"	14.89%	1024	71.55
Madhubani	Bihar	"4,487,379"	25.51%	926	58.62
Sitapur	Uttar Pradesh	"4,483,992"	23.88%	888	61.12
Bareilly	Uttar Pradesh	"4,448,359"	22.93%	887	58.49
Gorakhpur	Uttar Pradesh	"4,440,895"	17.81%	950	70.83
Agra	Uttar Pradesh	"4,418,797"	22.05%	868	71.58
Gaya	Bihar	"4,391,418"	26.43%	937	63.67
Solapur	Maharashtra	"4,317,756"	12.16%	938	77.02
Visakhapatnam	Andhra Pradesh	"4,290,589"	11.96%	1006	66.91
Samastipur	Bihar	"4,261,566"	25.53%	911	61.86
Jalgaon	Maharashtra	"4,229,917"	14.86%	925	78.2
Chittoor	Andhra Pradesh	"4,174,064"	11.43%	997	71.53
Vadodara	Gujarat	"4,165,626"	14.38%	934	78.92
Muzaffarnagar	Uttar Pradesh	"4,143,512"	16.94%	889	69.12
Malappuram	Kerala	"4,112,920"	13.45%	1098	93.57
Hardoi	Uttar Pradesh	"4,092,845"	20.44%	868	64.57
Anantapur	Andhra Pradesh	"4,081,148"	12.10%	977	63.57
Raipur	Chhattisgarh	"4,063,872"	34.70%	984	75.56
Kurnool	Andhra Pradesh	"4,053,463"	14.85%	988	59.97
Mahbubnagar	Andhra Pradesh	"4,053,028"	15.34%	977	55.04
Kheri	Uttar Pradesh	"4,021,243"	25.38%	894	60.56
Kancheepuram	Tamil Nadu	"3,998,252"	38.95%	986	84.49
Maldah	West Bengal	"3,988,845"	21.22%	944	61.73
Saran	Bihar	"3,951,862"	21.64%	954	65.96
Hyderabad	Andhra Pradesh	"3,943,323"	2.97%	954	83.25
Darbhanga	Bihar	"3,937,385"	19.47%	911	56.56
West Godavari	Andhra Pradesh	"3,936,966"	3.51%	1004	74.63
Vellore	Tamil Nadu	"3,936,331"	13.20%	1007	79.17
Pashchim Champaran	Bihar	"3,935,042"	29.29%	909	55.7
Kolhapur	Maharashtra	"3,876,001"	10.01%	957	81.51
Jalpaiguri	West Bengal	"3,872,846"	13.87%	953	73.25
Rajkot	Gujarat	"3,804,558"	20.02%	927	80.96
Sultanpur	Uttar Pradesh	"3,797,117"	18.11%	983	69.27
Karimnagar	Andhra Pradesh	"3,776,269"	8.15%	1008	64.15
Thiruvallur	Tamil Nadu	"3,728,104"	35.33%	987	84.03
Aurangabad	Maharashtra	"3,701,282"	27.76%	923	79.02
Jodhpur	Rajasthan	"3,687,165"	27.74%	916	65.94
Bijnor	Uttar Pradesh	"3,682,713"	17.60%	917	68.48
Budaun	Uttar Pradesh	"3,681,896"	19.95%	871	51.29
Varanasi	Uttar Pradesh	"3,676,841"	17.15%	913	75.6
Alwar	Rajasthan	"3,674,179"	22.78%	895	70.72
Aligarh	Uttar Pradesh	"3,673,889"	22.78%	882	67.52
North West Delhi	Delhi	"3,656,539"	27.81%	865	84.45
Ghazipur	Uttar Pradesh	"3,620,268"	19.18%	952	71.78
Bankura	West Bengal	"3,596,674"	12.65%	957	70.26
Kushinagar	Uttar Pradesh	"3,564,544"	23.20%	961	65.25
Ganjam	Orissa	"3,529,031"	11.66%	983	71.09
Warangal	Andhra Pradesh	"3,512,576"	8.21%	997	65.11
Birbhum	West Bengal	"3,502,404"	16.15%	956	70.68
Bulandshahar	Uttar Pradesh	"3,499,171"	20.12%	896	68.88
Ludhiana	Punjab	"3,498,739"	0.00%	873	82.2
Vaishali	Bihar	"3,495,021"	28.57%	895	66.6
Nalgonda	Andhra Pradesh	"3,488,809"	7.41%	983	64.2
Bahraich	Uttar Pradesh	"3,487,731"	46.48%	892	49.36
Salem	Tamil Nadu	"3,482,056"	15.44%	954	72.86
Saharanpur	Uttar Pradesh	"3,466,382"	19.66%	890	70.49
Viluppuram	Tamil Nadu	"3,458,873"	16.84%	987	71.88
Coimbatore	Tamil Nadu	"3,458,045"	18.56%	1000	83.98
Meerut	Uttar Pradesh	"3,443,689"	14.89%	886	72.84
Gonda	Uttar Pradesh	"3,433,919"	24.17%	921	58.71
Sitamarhi	Bihar	"3,423,574"	27.62%	899	52.05
Rae Bareli	Uttar Pradesh	"3,405,559"	18.56%	943	67.25
Prakasam	Andhra Pradesh	"3,397,448"	11.05%	981	63.08
Nanded	Maharashtra	"3,361,292"	16.86%	943	75.45
