State	2000-2001_GDP	2011-2012_GDP	GDPperC2001	GDPperC2011	2001 population	2011 population	Sex Ratio 2001	Child Sexratio 2001	Sex Ratio 2011	Child Sexratio 2011	Growth Rate	Area Sq.km	Density	Literacy2011	Literacy2001	Rural2001	Urban2001	Total2001	Rural2011	Urban2011	Total2011	Total1991	Total2001	to6-1991	to62001	above7-1991	above7-2001	1991  population (in millions)	1981 literacy	1991 literacy	Sex Ratio 2011	Child Sexratio 2011	Sex Ratio 2001	Child Sexratio 2001
Andaman and Nicobar Islands	989	3734	0.002773027	0.009811315	356650	380581	846	941	876	968	6.86	8249	46	86.27	81.3							818	846	973	965	790	830	0.24	63.2	73	876	968	846	941
Andhra Pradesh	144723	411184	0.00191108	0.004861436	75728400	84580777	978	896	993	939	10.98	275045	308	67.66	60.47	55401067	20808940	76210007	56361702	28219075	84580777	972	978	975	964	972	980	55.54	35.7	44.1	993	939	978	896
Arunachal Pradesh	1787	5588	0.001627019	0.004038369	1098328	1383727	901	798	938	972	26.03	83743	17	66.95	54.34	870087	227881	1097968	1066358	317369	1383727	859	901	982	961	829	888	0.68	25.6	41.6	938	972	901	798
Assam	36814	78851	0.00138198	0.002526824	26638600	31205576	932	845	958	962	17.07	78438	398	73.18	63.25	23216288	3439240	26655528	26807034	4398542	31205576	923	932	975	964	910	926				958	962	932	845
Bihar	57242	142646	0.000690662	0.001370286	82879910	104099452	921	908	918	935	25.42	94163	1106	63.82	47	74316709	8681800	82998509	92341436	11758016	104099452	907	921	953	938	895	916	68.61	32.1	38.5	918	935	921	908
Chandigarh	4794	15571	0.005320282	0.014752949	901080	1055450	773	819	818	880	17.19	114	9258	86.43	81.94							790	773	899	845	772	763	0.55	74.8	77.8	818	880	773	819
Chattisgarh	25846	80082	0.001240537	0.003134914	20834530	25545198	990	868	991	969	22.61	135192	189	71.04	64.66	16648056	4185747	20833803	19607961	5937237	25545198	985	990	984	975	986	992				991	969	990	868
Delhi	60125	197544	0.004340684	0.011767018	13851503	16787941	821	942	868	871	21.21	1483	11320	86.34	81.67	944727	12905780	13850507	419042	16368899	16787941	827	821	915	865	810	813	7.81	71.9	75.3	868	871	821	942
Goa	6757	27472	0.005009267	0.018835209	1348900	1458545	960	963	973	942	8.23	3702	394	87.4	82.01	677091	670577	1347668	551731	906814	1458545	967	960	964	933	967	964	1.03	65.7	75.5	973	942	960	963
Gujarat	111139	395738	0.002196544	0.006547651	50597200	60439692	921	964	919	890	19.28	196244	308	79.31	69.14	31740767	18930250	50671017	34694609	25745083	60439692	934	921	928	878	936	927	34.48	52.2	61.3	919	890	921	964
Haryana	58183	176526	0.002759594	0.006963149	21083900	25351462	861	964	879	834	19.9	44212	573	76.64	67.91	15029260	6115304	21144564	16509359	8842103	25351462	865	861	879	820	862	869	13.34	43.9	55.8	879	834	861	964
Himachal Pradesh	15661	41908	0.002576902	0.006104942	6077453	6864602	970	957	972	909	12.94	55673	123	83.78	76.48	5482319	595581	6077900	6176050	688552	6864602	976	970	951	897	980	981	4.33	51.2	63.9	972	909	970	957
Jammu and Kashmir	16700	40641	0.001658342	0.003240573	10070300	12541302	900	964	889	862	23.64	222236	56	68.74	55.52	7627062	2516638	10143700	9108060	3433242	12541302		900		937		894				889	862	900	964
Jharkhand	32093	97896	0.001191009	0.002967613	26946070	32988134	941	966	948	948	22.42	79716	414	67.63	53.56	20952088	5993741	26945829	25055073	7933061	32988134	922	941	979	966	908	936				948	948	941	966
Karnataka	108362	281707	0.002054841	0.004610944	52734986	61095297	964	973	973	948	15.6	191791	319	75.6	66.64	34889033	17961529	52850562	37469335	23625962	61095297	960	964	960	949	960	966	37.5	46.2	56	973	948	964	973
Kerala	72659	204957	0.002282075	0.006135324	31839000	33406061	1058	965	1084	964	4.91	38852	860	93.91	90.86	23574449	8266925	31841374	17471135	15934926	33406061	1036	1058	958	963	1049	1071	25.26	81.6	89.8	1084	964	1058	965
